"","wage","educ","exper","fulltime","hrswk","nkids","age","married","female","insurance","private","mcaid","mcare","metro","northeast","midwest","south","west","white","black","asian"
"1",18.7,16,39,1,37,0,58,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"2",11.5,12,16,1,62,2,31,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"3",15.04,16,13,1,40,0,32,1,0,1,1,0,0,1,0,0,0,1,0,1,0
"4",25.95,14,11,1,40,3,29,0,1,1,1,0,0,1,0,0,1,0,0,1,0
"5",24.03,12,51,1,40,0,66,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"6",20,12,30,1,40,1,45,1,0,0,0,0,0,1,1,0,0,0,1,0,0
"7",53.84,16,30,1,50,1,49,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"8",25,12,34,1,60,0,49,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"9",28.85,16,31,1,45,1,50,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"10",16.83,13,31,1,40,1,47,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"11",14.8,12,45,1,55,0,60,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"12",43.25,16,33,1,40,0,52,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"13",19.23,12,33,1,40,0,48,0,0,1,1,0,0,1,0,0,1,0,1,0,0
"14",14,14,15,0,40,2,33,0,1,1,1,0,0,1,0,0,1,0,0,1,0
"15",8,12,23,1,45,2,38,0,1,0,0,0,0,1,1,0,0,0,1,0,0
"16",57.7,21,41,1,50,0,63,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"17",20,12,50,1,40,0,65,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"18",20.83,18,24,0,24,2,44,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"19",22,11,27,1,40,2,40,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"20",68.75,14,41,1,40,0,58,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"21",10.5,12,27,1,40,0,42,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"22",9.88,13,25,1,40,1,41,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"23",10.96,12,22,1,50,2,37,1,0,1,1,0,0,0,1,0,0,0,1,0,0
"24",8.25,13,11,0,35,0,27,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"25",14.86,18,3,1,37,0,23,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"26",8.75,12,45,1,40,0,60,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"27",15.3,12,34,1,40,1,49,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"28",12.7,12,40,1,40,0,55,0,1,1,1,0,0,0,0,1,0,0,1,0,0
"29",10.75,13,6,0,40,0,22,0,1,0,0,0,0,1,0,0,0,1,1,0,0
"30",17.33,12,15,1,0,0,30,1,1,1,1,0,0,0,0,0,0,1,0,0,1
"31",7.5,10,27,1,40,0,39,1,1,0,0,0,0,1,0,0,1,0,1,0,0
"32",18.5,12,19,1,45,5,34,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"33",9,13,30,1,40,0,46,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"34",51.29,21,25,1,45,1,46,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"35",20.53,14,38,1,40,0,55,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"36",12.68,18,42,1,44,0,62,0,0,1,1,0,0,1,0,0,1,0,1,0,0
"37",7.25,12,16,1,40,1,31,0,1,1,1,0,0,1,1,0,0,0,0,1,0
"38",18.28,14,23,1,40,3,40,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"39",21.63,16,7,1,40,0,26,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"40",19.23,14,34,1,40,0,52,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"41",25,12,25,1,40,1,40,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"42",16.83,16,38,1,40,0,57,1,1,1,1,0,0,1,0,0,1,0,1,0,0
