"","country","year","sex","sui_rate_1e5","population","gdp_per_capita"
"1","Albania",1987,"female",1.89839775229706,1316900,796
"2","Albania",1987,"male",3.44654268686724,1392700,796
"3","Albania",1988,"female",1.63739208097648,1343600,769
"4","Albania",1988,"male",2.88590131625255,1420700,769
"5","Albania",1989,"female",1.10027140027874,1363300,833
"6","Albania",1989,"male",3.68106681483539,1439800,833
"7","Albania",1992,"female",0.983698707138842,1423200,251
"8","Albania",1992,"male",2.35832201815193,1399300,251
"9","Albania",1993,"female",1.89155107187894,1427400,437
"10","Albania",1993,"male",3.33357489673165,1379900,437
"11","Albania",1994,"female",1.03799045048786,1445100,697
"12","Albania",1994,"male",2.49252243270189,1404200,697
"13","Albania",1995,"female",2.30696159587461,1473800,835
"14","Albania",1995,"male",3.77728035814214,1429600,835
"15","Albania",1996,"female",2.60695187165775,1496000,1127
"16","Albania",1996,"male",3.46212435950699,1444200,1127
"17","Albania",1997,"female",3.40113807312447,1528900,793
"18","Albania",1997,"male",8.14692074012704,1448400,793
"19","Albania",1998,"female",3.77284850061797,1537300,899
"20","Albania",1998,"male",6.50671004473363,1475400,899
"21","Albania",1999,"female",3.11021836324759,1543300,1127
"22","Albania",1999,"male",6.1221743810549,1486400,1127
"23","Albania",2000,"female",1.16584086272224,1372400,1299
"24","Albania",2000,"male",2.66872673642812,1423900,1299
"25","Albania",2001,"female",2.48450732219801,1408730,1451
"26","Albania",2001,"male",6.04047550047856,1390619,1451
"27","Albania",2002,"female",2.96037954885225,1418737,1573
"28","Albania",2002,"male",6.49952646307198,1400102,1573
"29","Albania",2003,"female",3.56226347618243,1431674,2021
"30","Albania",2003,"male",5.1690381694524,1412255,2021
"31","Albania",2004,"female",3.93752732954824,1447609,2544
"32","Albania",2004,"male",6.23519142037661,1427382,2544
"33","Albania",2005,"female",0,1399928,2931
"34","Albania",2005,"male",0,1383392,2931
"35","Albania",2006,"female",0,1397509,3235
"36","Albania",2006,"male",0,1382667,3235
"37","Albania",2007,"female",3.37679580874978,1391852,3863
"38","Albania",2007,"male",5.58581406348386,1378492,3863
"39","Albania",2008,"female",4.40537224312166,1384673,4672
"40","Albania",2008,"male",7.21371392596544,1372386,4672
"41","Albania",2009,"female",0,1378059,4387
"42","Albania",2009,"male",0,1367676,4387
"43","Albania",2010,"female",2.55171227184047,1371628,4359
"44","Albania",2010,"male",4.47083949906076,1364397,4359
"45","Antigua and Barbuda",1985,"female",0,32292,3850
"46","Antigua and Barbuda",1985,"male",0,30282,3850
"47","Antigua and Barbuda",1986,"female",0,31663,4740
"48","Antigua and Barbuda",1986,"male",0,29607,4740
"49","Antigua and Barbuda",1987,"female",0,31185,5595
"50","Antigua and Barbuda",1987,"male",0,29076,5595
"51","Antigua and Barbuda",1988,"female",0,30851,6693
"52","Antigua and Barbuda",1988,"male",0,28713,6693
"53","Antigua and Barbuda",1989,"female",0,30692,7407
"54","Antigua and Barbuda",1989,"male",0,28546,7407
"55","Antigua and Barbuda",1990,"female",0,30729,7744
"56","Antigua and Barbuda",1990,"male",3.49589232651634,28605,7744
"57","Antigua and Barbuda",1991,"female",0,31236,7976
"58","Antigua and Barbuda",1991,"male",0,29158,7976
"59","Antigua and Barbuda",1992,"female",0,31851,8087
"60","Antigua and Barbuda",1992,"male",0,29890,8087
"61","Antigua and Barbuda",1993,"female",0,32590,8453
"62","Antigua and Barbuda",1993,"male",3.2546786004882,30725,8453
"63","Antigua and Barbuda",1994,"female",0,33465,9062
"64","Antigua and Barbuda",1994,"male",0,31579,9062
"65","Antigua and Barbuda",1995,"female",0,34464,8636
"66","Antigua and Barbuda",1995,"male",0,32382,8636
"67","Antigua and Barbuda",1998,"female",0,38056,10078
"68","Antigua and Barbuda",1998,"male",0,34169,10078
"69","Antigua and Barbuda",1999,"female",0,39159,10378
"70","Antigua and Barbuda",1999,"male",0,34673,10378
"71","Antigua and Barbuda",2000,"female",0,40089,11021
"72","Antigua and Barbuda",2000,"male",5.67585208729461,35237,11021
"73","Antigua and Barbuda",2001,"female",0,40681,10468
"74","Antigua and Barbuda",2001,"male",5.5840964931874,35816,10468
"75","Antigua and Barbuda",2002,"female",0,41116,10499
"76","Antigua and Barbuda",2002,"male",0,36472,10499
"77","Antigua and Barbuda",2003,"female",0,41474,10878
"78","Antigua and Barbuda",2003,"male",2.68932874354561,37184,10878
"79","Antigua and Barbuda",2004,"female",0,41837,11535
"80","Antigua and Barbuda",2004,"male",5.27913422198759,37885,11535
"81","Antigua and Barbuda",2005,"female",0,42258,12649
"82","Antigua and Barbuda",2005,"male",0,38551,12649
"83","Antigua and Barbuda",2006,"female",0,42774,14114
"84","Antigua and Barbuda",2006,"male",0,39199,14114
"85","Antigua and Barbuda",2007,"female",0,43358,15775
"86","Antigua and Barbuda",2007,"male",2.51426847358761,39773,15775
"87","Antigua and Barbuda",2008,"female",0,43987,16238
"88","Antigua and Barbuda",2008,"male",0,40286,16238
"89","Antigua and Barbuda",2009,"female",0,44623,14335
"90","Antigua and Barbuda",2009,"male",0,40782,14335
"91","Antigua and Barbuda",2012,"female",0,46381,13657
"92","Antigua and Barbuda",2012,"male",0,42322,13657
"93","Antigua and Barbuda",2013,"female",0,46919,13287
"94","Antigua and Barbuda",2013,"male",0,42860,13287
"95","Antigua and Barbuda",2014,"female",0,47455,14093
"96","Antigua and Barbuda",2014,"male",0,43382,14093
"97","Antigua and Barbuda",2015,"female",2.08376745155241,47990,14853
"98","Antigua and Barbuda",2015,"male",0,43899,14853
"99","Argentina",1985,"female",3.92961748314574,13690900,3264
"100","Argentina",1985,"male",10.8209762759424,13399900,3264
"101","Argentina",1986,"female",4.65548671987915,13768700,4072
"102","Argentina",1986,"male",12.1923165401426,13475700,4072
"103","Argentina",1987,"female",4.91830311373038,13947900,4026
"104","Argentina",1987,"male",11.7203237739443,13651500,4026
"105","Argentina",1988,"female",4.64255794470818,14324000,4458
"106","Argentina",1988,"male",12.0780892448513,13984000,4458
"107","Argentina",1989,"female",4.17096840801156,14529000,2670
"108","Argentina",1989,"male",11.5783532068017,14173000,2670
"109","Argentina",1990,"female",4.03882704317133,14732000,4859
"110","Argentina",1990,"male",10.7597272809577,14359100,4859
"111","Argentina",1991,"female",3.29742945879865,15133000,6404
"112","Argentina",1991,"male",10.0207039337474,14490000,6404
"113","Argentina",1992,"female",3.28097231354117,15361300,7615
"114","Argentina",1992,"male",11.4409463297036,14684100,7615
"115","Argentina",1993,"female",3.16350102669405,15584000,7768
"116","Argentina",1993,"male",11.6628059220465,14893500,7768
"117","Argentina",1994,"female",3.22645949844371,15806800,8328
"118","Argentina",1994,"male",11.4602367522047,15104400,8328
"119","Argentina",1995,"female",3.14420287594747,16029500,8232
"120","Argentina",1995,"male",11.0995762573535,15315900,8232
"121","Argentina",1996,"female",3.27328214215397,16252800,8563
"122","Argentina",1996,"male",10.9287154090379,15527900,8563
"123","Argentina",1997,"female",3.253114978301,16568735,9057
"124","Argentina",1997,"male",10.434476372603,15765046,9057
"125","Argentina",1998,"female",3.13296717722516,16789196,9126
"126","Argentina",1998,"male",11.4040131229442,15968063,9126
"127","Argentina",1999,"female",2.89892603316724,17006298,8546
"128","Argentina",1999,"male",11.9367434238439,16168564,8546
"129","Argentina",2000,"female",3.19408200486139,17219345,8462
"130","Argentina",2000,"male",13.588992134271,16366188,8462
"131","Argentina",2001,"female",3.87652510583315,17438298,7900
"132","Argentina",2001,"male",14.8195991370842,16572648,7900
"133","Argentina",2002,"female",3.9846958206209,17642501,2840
